Date,Description,Amount,Type
2026-05-01,SALARY CREDIT MAY 2026,120000,Credit
2026-05-02,HDFC CREDIT CARD BILL,-18000,Debit
2026-05-03,IRCTC WEB BOOKING BANGALORE DELHI,-3800,Debit
2026-05-04,SWIGGY LTD ORDER,-480,Debit
2026-05-05,UDEMY INDIA COURSE PURCHASE,-1299,Debit
2026-05-06,AMAZON MKTPLACE PMTS,-2400,Debit
2026-05-07,NETFLIX SUBSCRIPTION,-649,Debit
2026-05-08,ZOMATO LTD ORDER,-560,Debit
2026-05-09,APOLLO PHARMACY KORAMANGALA,-1250,Debit
2026-05-10,MAKEMYTRIP FLIGHT BLR DEL,-8400,Debit
2026-05-11,NAMDROLING MONASTERY DONATION,-2000,Debit
2026-05-12,AMAZON MKTPLACE PMTS,-4200,Debit
2026-05-13,CULT FIT MONTHLY MEMBERSHIP,-2000,Debit
2026-05-14,BOOKMYSHOW MULTIPLEXCINEMAS,-760,Debit
2026-05-15,BESCOM ELECTRICITY BILL MAY,-1450,Debit
2026-05-16,DREAM11 FANTASY SPORTS,-500,Debit
2026-05-17,AIRBNB CHIKKAMAGALURU ESTATE,-5600,Debit
2026-05-18,COURSERA SUBSCRIPTION,-2400,Debit
2026-05-19,JIO MOBILE RECHARGE,-299,Debit
2026-05-20,SWIGGY LTD ORDER,-520,Debit
2026-05-21,ZARA INDIA ONLINE,-3800,Debit
2026-05-22,FAMILY DINNER RESTAURANT,-3200,Debit
2026-05-23,ZERODHA INVESTMENT MF,-10000,Debit
2026-05-24,GIVE INDIA FOUNDATION,-2000,Debit
2026-05-25,PRACTO ONLINE CONSULTATION,-500,Debit
2026-05-26,IRCTC WEB BOOKING RETURN,-2100,Debit
2026-05-27,AMAZON MKTPLACE PMTS,-5500,Debit
2026-05-28,SPOTIFY PREMIUM,-119,Debit
2026-05-29,FLIPKART ONLINE SHOPPING,-2800,Debit
2026-05-30,FREELANCE CONSULTING PAYMENT,15000,Credit
2026-05-31,BWSSB WATER BILL,-380,Debit
